Time,UAV,Event,PacketSize,Source,Destination,Latency,PacketLoss,Throughput,Label
2.09763,uav1,Send,1019,uav1,groundStation,52.693,4.31263,19.3384,Normal
2.09763,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
2.18569,uav2,Send,979,uav2,groundStation,58.7536,2.22972,16.6628,Normal
2.18569,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
2.20553,uav5,Send,855,uav5,groundStation,73.5064,0.755208,11.6316,Normal
2.20553,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
2.43038,uav3,Send,652,uav3,groundStation,43.0065,2.64949,15.1605,Normal
2.43038,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
2.68853,uav4,Send,807,uav4,groundStation,51.7337,2.6599,15.5991,Normal
2.68853,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
3.94494,uav1,Send,933,uav1,groundStation,70.1647,0.819662,13.2973,Normal
3.94494,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
4.06086,uav2,Send,371,uav2,groundStation,42.0945,4.24679,8.8135,Normal
4.06086,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
4.82462,uav4,Send,687,uav4,groundStation,72.2052,4.90378,9.51455,Normal
4.82462,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
5.01383,uav3,Send,433,uav3,groundStation,47.6888,2.84215,9.07971,Normal
5.01383,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
5.13285,uav5,Send,403,uav5,groundStation,27.0965,3.74285,14.8728,Normal
5.13285,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
5.61973,uav1,Send,521,uav1,groundStation,52.2424,4.75101,9.97274,Normal
5.61973,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
6.77184,uav4,Send,799,uav4,groundStation,26.3545,2.36598,30.3175,Normal
6.77184,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
6.97517,uav2,Send,931,uav2,groundStation,31.1799,3.98405,29.8589,Normal
6.97517,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
7.41269,uav5,Send,439,uav5,groundStation,32.993,3.05795,13.3058,Normal
7.41269,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
7.57489,uav3,Send,384,uav3,groundStation,39.4485,3.27936,9.73422,Normal
7.57489,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
8.13696,uav1,Send,806,uav1,groundStation,33.3393,3.2762,24.1757,Normal
8.13696,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
8.68313,uav5,Send,591,uav5,groundStation,74.1559,3.56819,7.9697,Normal
8.68313,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
8.71904,uav4,Send,698,uav4,groundStation,56.7838,2.46664,12.2922,Normal
8.71904,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
8.87424,uav3,Send,577,uav3,groundStation,25.9568,0.771015,22.2292,Normal
8.87424,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
9.44901,uav2,Send,547,uav2,groundStation,59.1884,3.51787,9.24168,Normal
9.44901,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
9.90994,uav1,Send,686,uav1,groundStation,41.4891,1.08017,16.5345,Normal
9.90994,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
10.583,uav5,Send,654,uav5,groundStation,56.4698,2.1367,11.5814,Normal
10.583,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
10.7908,uav2,Send,889,uav2,groundStation,22.3055,2.47371,39.8556,Normal
10.7908,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
11.5237,uav4,Send,580,uav4,groundStation,77.537,0.959202,7.4803,Normal
11.5237,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
11.8139,uav3,Send,895,uav3,groundStation,58.1035,1.22589,15.4035,Normal
11.8139,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
12.2331,uav5,Send,436,uav5,groundStation,35.1975,2.36466,12.3872,Normal
12.2331,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
12.4113,uav1,Send,916,uav1,groundStation,34.6655,3.3058,26.4239,Normal
12.4113,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
13.0594,uav2,Send,975,uav2,groundStation,26.6225,3.53639,36.6231,Normal
13.0594,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
13.7292,uav1,Send,816,uav1,groundStation,28.291,4.00255,28.8431,Normal
13.7292,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
13.8293,uav4,Send,931,uav4,groundStation,42.1235,3.48137,22.1017,Normal
13.8293,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
14.1657,uav5,Send,862,uav5,groundStation,25.8261,3.30281,33.3771,Normal
14.1657,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
14.8045,uav3,Send,548,uav3,groundStation,25.7659,4.87375,21.2684,Normal
14.8045,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
15.1224,uav1,Send,643,uav1,groundStation,48.1191,2.79331,13.3627,Normal
15.1224,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
15.372,uav2,Send,624,uav2,groundStation,56.2907,2.53022,11.0853,Normal
15.372,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
16.4713,uav4,Send,639,uav4,groundStation,22.3513,2.4877,28.589,Normal
16.4713,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
16.8416,uav5,Send,811,uav5,groundStation,27.2118,2.1175,29.8033,Normal
16.8416,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
17.7574,uav3,Send,955,uav3,groundStation,27.1237,3.59898,35.2091,Normal
17.7574,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
17.8506,uav2,Send,830,uav2,groundStation,44.8558,4.63206,18.5037,Normal
17.8506,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
18.0369,uav4,Send,850,uav4,groundStation,53.9113,3.04971,15.7666,Normal
18.0369,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
18.0759,uav1,Send,465,uav1,groundStation,50.5381,2.85462,9.20097,Normal
18.0759,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
18.4339,uav5,Send,297,uav5,groundStation,75.2695,3.09176,3.94582,Normal
18.4339,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
18.9789,uav2,Send,342,uav2,groundStation,39.1141,0.542105,8.74364,Normal
18.9789,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
19.3933,uav3,Send,563,uav3,groundStation,58.8304,3.72347,9.56987,Normal
19.3933,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
19.6001,uav5,Send,384,uav5,groundStation,35.8838,1.32436,10.7012,Normal
19.6001,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
20.7671,uav4,Send,810,uav4,groundStation,53.1693,0.590484,15.2344,Normal
20.7671,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
20.9094,uav1,Send,744,uav1,groundStation,42.1885,0.52113,17.6351,Normal
20.9094,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
21.3137,uav2,Send,893,uav2,groundStation,54.1771,1.71504,16.483,Normal
21.3137,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
21.3958,uav5,Send,482,uav5,groundStation,37.3086,4.82985,12.9193,Normal
21.3958,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
22.0761,uav3,Send,552,uav3,groundStation,65.3664,3.09271,8.44471,Normal
22.0761,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
22.097,uav4,Send,666,uav4,groundStation,54.3351,3.37514,12.2573,Normal
22.097,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
22.2023,uav1,Send,579,uav1,groundStation,77.1649,3.56025,7.50341,Normal
22.2023,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
23.2624,uav5,Send,516,uav5,groundStation,78.7143,3.64766,6.55536,Normal
