source_record_id,simulation_time,uav_name,uav_id,packet_size,avg_latency_ms,packet_loss_pct,throughput,label,attack_type,isolation_forest_prediction,random_forest_prediction,anomaly_score,random_forest_attack_probability,run_id,evaluation_scope,pqc_status,pqc_scope,pqc_representative_demo_verified,pqc_algorithm_benchmarked,pqc_benchmark_mean_encapsulation_ms,pqc_benchmark_mean_decapsulation_ms
160,34.6575,uav5,5,336,56.4952,3.66986,5.94741,0,Normal,0,0,-0.0357729158015444,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
410,83.0721,uav1,1,899,38.2681,4.48683,23.4921,0,Normal,0,0,-0.030356920277476496,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
68,16.4713,uav4,4,639,22.3513,2.4877,28.589,0,Normal,0,0,-0.01256407759089928,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
126,27.6565,uav4,4,490,25.8356,2.46139,18.9661,0,Normal,0,0,-0.03131897368317205,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
220,46.7062,uav5,5,538,36.6136,1.09431,14.694,0,Normal,0,0,-0.050819435099154486,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
288,59.614,uav3,3,457,141.967,28.6656,3.21905,1,OMNeT++ abnormal communication behaviour,1,1,0.06386760541974978,1.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
14,4.82462,uav4,4,687,72.2052,4.90378,9.51455,0,Normal,0,0,-0.009161135853260172,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
444,89.851,uav3,3,394,172.119,20.0729,2.28912,1,OMNeT++ abnormal communication behaviour,1,1,0.06703341559616238,1.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
398,81.0997,uav5,5,895,49.3706,4.77929,18.1282,0,Normal,0,0,-0.030528586779325684,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
492,99.7937,uav5,5,256,50.1632,2.2071,5.10334,0,Normal,1,0,0.012244575096624022,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
166,35.3151,uav3,3,432,76.0528,1.70268,5.68026,0,Normal,0,0,-0.04907325027355225,0.005,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
206,44.3722,uav3,3,971,32.9305,4.04933,29.4864,0,Normal,0,0,-0.03844756835738461,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
