source_record_id,split
0,train
2,test
4,train
6,train
8,train
10,train
12,train
14,test
16,test
18,train
20,train
22,train
24,train
26,test
28,test
30,train
32,train
34,test
36,train
38,train
40,test
42,test
44,train
46,train
48,train
50,train
52,train
54,train
56,train
58,train
60,train
62,train
64,train
66,train
68,test
70,train
72,train
74,test
76,train
78,train
80,train
82,train
84,train
86,train
88,train
90,train
92,train
94,train
96,test
98,test
100,test
102,train
104,test
106,train
108,test
110,train
112,train
114,test
116,test
118,test
120,train
122,train
124,train
126,test
128,train
130,train
132,train
134,train
136,train
138,train
140,train
142,test
144,test
146,train
148,test
150,train
152,train
154,train
156,train
158,train
160,test
162,train
164,train
166,test
168,train
170,train
172,train
174,test
176,test
178,test
180,train
182,test
184,test
186,train
188,train
190,train
192,train
194,train
196,train
198,test
200,train
202,train
204,test
206,test
208,train
210,train
212,test
214,test
216,train
218,train
220,test
222,train
224,train
226,train
228,train
230,train
232,test
234,train
236,train
238,train
240,train
242,test
244,test
246,train
248,train
250,train
252,train
254,train
256,train
258,train
260,train
262,train
264,train
266,test
268,test
270,test
272,train
274,train
276,test
278,test
280,train
282,train
284,train
286,train
288,test
290,train
292,train
294,train
296,train
298,train
300,train
302,train
304,train
306,train
308,train
310,train
312,test
314,train
316,test
318,train
320,train
322,test
324,train
326,train
328,train
330,train
332,test
334,train
336,test
338,train
340,train
342,test
344,train
346,train
348,train
350,train
352,train
354,train
356,test
358,train
360,train
362,train
364,test
366,train
368,test
370,train
372,train
374,train
376,train
378,test
380,train
382,test
384,train
386,train
388,train
390,test
392,train
394,train
396,train
398,test
400,train
402,train
404,train
406,train
408,train
410,test
412,test
414,train
416,train
418,train
420,test
422,test
424,train
426,train
428,train
430,test
432,train
434,train
436,train
438,train
440,test
442,test
444,test
446,train
448,test
450,train
452,train
454,test
456,train
458,train
460,test
462,test
464,test
466,train
468,train
470,test
472,train
474,test
476,test
478,train
480,train
482,train
484,train
486,test
488,train
490,train
492,test
